Date,seasonal_687
2023-02-17,-0.6124700376594392
2023-02-21,-0.008850964227543279
2023-02-22,1.9932022046281843
2023-02-23,-0.970972068547338
2023-02-24,-2.7691456702909583
2023-02-27,-3.8025485610626175
2023-02-28,-4.217048723576021
2023-03-01,-6.015853043274923
2023-03-02,-6.358927122666583
2023-03-03,-5.678444245770378
2023-03-06,-5.856343455094394
2023-03-07,-6.4370400900386935
2023-03-08,-7.633347413154318
2023-03-09,-7.85583508622277
2023-03-10,-6.6938243503274055
2023-03-13,-6.469345288481174
2023-03-14,-7.818077911010754
2023-03-15,-8.88412647970368
2023-03-16,-4.880402381871529
2023-03-17,-5.795473659487534
2023-03-20,-4.979892233479318
2023-03-21,-4.657544208373603
2023-03-22,-6.138523547728382
2023-03-23,-6.7541538711378
2023-03-24,-4.259270517888425
2023-03-27,-6.090677501399749
2023-03-28,-8.459493600611243
2023-03-29,-11.821470606176726
2023-03-30,-12.169186748279197
2023-03-31,-13.906215652848607
2023-04-03,-13.131926910049547
2023-04-04,-14.595958318412256
2023-04-05,-12.272265086253022
2023-04-06,-10.619851979838081
2023-04-10,-11.335160846563628
2023-04-11,-8.62007419614928
2023-04-12,-9.593993796788768
2023-04-13,-6.569617316892218
2023-04-14,-5.0571028019216735
2023-04-17,-0.9612104736235073
2023-04-18,0.9466072362221631
2023-04-19,1.097568908601163
2023-04-20,-1.386071451742084
2023-04-21,-1.205593151644439
2023-04-24,0.06463291225628987
2023-04-25,1.101279423225943
2023-04-26,2.0060505931444332
2023-04-27,-0.5276990187928308
2023-04-28,-1.4432838656135532
2023-05-01,-3.6126298650620834
2023-05-02,-4.937924860711865
2023-05-03,-6.610681730632608
2023-05-04,-7.817923145823055
2023-05-05,-7.696556497336692
2023-05-08,-9.811317830387788
2023-05-09,-12.268025246490694
2023-05-10,-12.552790926499554
2023-05-11,-13.175950874371729
2023-05-12,-12.452212016438471
2023-05-15,-10.806994763241324
2023-05-16,-10.924980519809894
2023-05-17,-11.19317693285676
2023-05-18,-11.975302238559124
2023-05-19,-11.792187926480624
2023-05-22,-13.528284028413138
2023-05-23,-14.597307653630212
2023-05-24,-12.44642604817308
2023-05-25,-13.97274041421587
2023-05-26,-16.121151423721052
2023-05-30,-15.26009569617307
2023-05-31,-15.851669870532136
2023-06-01,-14.897344436217184
2023-06-02,-16.6525360699738
2023-06-05,-13.03137195444982
2023-06-06,-13.201348560379252
2023-06-07,-13.848258564123974
2023-06-08,-11.40107744623434
2023-06-09,-10.375894531767464
2023-06-12,-12.758759846715543
2023-06-13,-12.107230003069393
2023-06-14,-9.161737920871639
2023-06-15,-8.380096824975523
2023-06-16,-11.459428570773344
2023-06-20,-14.984816747910457
2023-06-21,-17.361801900945437
2023-06-22,-16.321586093467026
2023-06-23,-17.89012386173314
2023-06-26,-19.232520112221046
2023-06-27,-19.616347919667167
2023-06-28,-21.92370527817044
2023-06-29,-22.820198054396414
2023-06-30,-23.87385512381986
2023-07-03,-24.372035869286552
2023-07-05,-23.768335333900193
2023-07-06,-23.768814280923117
2023-07-07,-25.884180728636192
2023-07-10,-26.61873643845887
2023-07-11,-28.629439731909688
2023-07-12,-30.048631278562485
2023-07-13,-30.635722889589953
2023-07-14,-28.781352118800687
2023-07-17,-30.958222830053444
2023-07-18,-33.75790738364135
2023-07-19,-34.11141600334071
2023-07-20,-31.353044546911093
2023-07-21,-29.354758273535122
2023-07-24,-28.42005343578745
2023-07-25,-27.497316804030454
2023-07-26,-27.398875690479066
2023-07-27,-28.233683252994066
2023-07-28,-30.38371967266536
2023-07-31,-29.010520930553703
2023-08-01,-29.84506021590395
2023-08-02,-28.08555603836288
2023-08-03,-29.061244990196037
2023-08-04,-29.77050492222065
2023-08-07,-28.572042678131464
2023-08-08,-29.594612261319416
2023-08-09,-30.645279436572004
2023-08-10,-31.86766793040737
2023-08-11,-30.004415117239258
